City,Timestamp,Temperature,Humidity,Description
Pune,2023-12-24 06:00:00,301.22,28,clear sky
Pune,2023-12-24 09:00:00,303.64,24,overcast clouds
Pune,2023-12-24 12:00:00,301.17,31,broken clouds
Pune,2023-12-24 15:00:00,296.89,38,overcast clouds
Pune,2023-12-24 18:00:00,294.92,42,overcast clouds
Pune,2023-12-24 21:00:00,293.21,45,broken clouds
Pune,2023-12-25 00:00:00,292.41,45,broken clouds
Pune,2023-12-25 03:00:00,294.92,41,few clouds
Pune,2023-12-25 06:00:00,301.75,27,clear sky
Pune,2023-12-25 09:00:00,304.31,22,clear sky
Pune,2023-12-25 12:00:00,301.86,27,clear sky
Pune,2023-12-25 15:00:00,297.11,31,clear sky
Pune,2023-12-25 18:00:00,295.04,35,clear sky
Pune,2023-12-25 21:00:00,293.24,38,clear sky
Pune,2023-12-26 00:00:00,291.9,40,clear sky
Pune,2023-12-26 03:00:00,295.22,35,clear sky
Pune,2023-12-26 06:00:00,301.83,25,clear sky
Pune,2023-12-26 09:00:00,304.35,20,clear sky
Pune,2023-12-26 12:00:00,301.98,25,clear sky
Surat,2023-12-21 15:00:00,297.14,46,broken clouds
Surat,2023-12-21 18:00:00,297.25,40,broken clouds
Surat,2023-12-21 21:00:00,297.09,34,overcast clouds
Surat,2023-12-22 00:00:00,296.58,29,overcast clouds
Surat,2023-12-22 03:00:00,297.16,30,overcast clouds
Surat,2023-12-22 06:00:00,301.9,23,overcast clouds
Surat,2023-12-22 09:00:00,304.12,22,overcast clouds
Surat,2023-12-22 12:00:00,300.02,36,overcast clouds
Surat,2023-12-22 15:00:00,298.07,40,overcast clouds
Surat,2023-12-22 18:00:00,297.06,34,broken clouds
Surat,2023-12-22 21:00:00,296.05,34,overcast clouds
Surat,2023-12-23 00:00:00,295.05,34,overcast clouds
Surat,2023-12-23 03:00:00,296.41,32,scattered clouds
Surat,2023-12-23 06:00:00,303.02,24,scattered clouds
Surat,2023-12-23 09:00:00,305.06,25,clear sky
Surat,2023-12-23 12:00:00,301.71,35,clear sky
Surat,2023-12-23 15:00:00,299.09,35,clear sky
Surat,2023-12-23 18:00:00,297.52,34,clear sky
Surat,2023-12-23 21:00:00,296.2,34,clear sky
Surat,2023-12-24 00:00:00,295.21,36,clear sky
Surat,2023-12-24 03:00:00,296.48,36,clear sky
Surat,2023-12-24 06:00:00,304.04,25,clear sky
Surat,2023-12-24 09:00:00,306.36,23,clear sky
Surat,2023-12-24 12:00:00,302.87,34,clear sky
Surat,2023-12-24 15:00:00,299.56,34,clear sky
Surat,2023-12-24 18:00:00,297.79,33,clear sky
Surat,2023-12-24 21:00:00,296.47,35,clear sky
Surat,2023-12-25 00:00:00,295.47,36,clear sky
Surat,2023-12-25 03:00:00,296.51,36,clear sky
Surat,2023-12-25 06:00:00,303.96,26,clear sky
Surat,2023-12-25 09:00:00,305.97,26,clear sky
Surat,2023-12-25 12:00:00,302.6,35,clear sky
Surat,2023-12-25 15:00:00,299.5,34,clear sky
Surat,2023-12-25 18:00:00,297.35,36,clear sky
Surat,2023-12-25 21:00:00,296.04,37,clear sky
Surat,2023-12-26 00:00:00,295.02,38,clear sky
Surat,2023-12-26 03:00:00,296.21,36,clear sky
Surat,2023-12-26 06:00:00,303.66,26,clear sky
Surat,2023-12-26 09:00:00,305.5,26,clear sky
Surat,2023-12-26 12:00:00,301.49,37,clear sky
Jaipur,2023-12-21 15:00:00,290.77,42,scattered clouds
Jaipur,2023-12-21 18:00:00,289.43,37,broken clouds
Jaipur,2023-12-21 21:00:00,287.16,34,scattered clouds
Jaipur,2023-12-22 00:00:00,285.04,31,few clouds
Jaipur,2023-12-22 03:00:00,288.78,28,broken clouds
Jaipur,2023-12-22 06:00:00,294.44,18,broken clouds
Jaipur,2023-12-22 09:00:00,296.69,16,overcast clouds
Jaipur,2023-12-22 12:00:00,291.63,26,overcast clouds
Jaipur,2023-12-22 15:00:00,288.55,34,broken clouds
Jaipur,2023-12-22 18:00:00,287.97,35,broken clouds
Jaipur,2023-12-22 21:00:00,286.68,38,broken clouds
Jaipur,2023-12-23 00:00:00,286.68,36,broken clouds
Jaipur,2023-12-23 03:00:00,288.33,35,scattered clouds
Jaipur,2023-12-23 06:00:00,294.7,23,scattered clouds
Jaipur,2023-12-23 09:00:00,297.25,18,clear sky
Jaipur,2023-12-23 12:00:00,292.37,26,clear sky
Jaipur,2023-12-23 15:00:00,288.6,34,clear sky
Jaipur,2023-12-23 18:00:00,287.41,38,clear sky
Jaipur,2023-12-23 21:00:00,286.09,38,clear sky
Jaipur,2023-12-24 00:00:00,285.21,38,clear sky
Jaipur,2023-12-24 03:00:00,288.62,34,clear sky
Jaipur,2023-12-24 06:00:00,295.32,22,clear sky
Jaipur,2023-12-24 09:00:00,297.3,20,broken clouds
Jaipur,2023-12-24 12:00:00,291.85,32,broken clouds
Jaipur,2023-12-24 15:00:00,288.62,38,clear sky
Jaipur,2023-12-24 18:00:00,288.08,39,scattered clouds
Jaipur,2023-12-24 21:00:00,286.39,42,broken clouds
Jaipur,2023-12-25 00:00:00,285.85,44,broken clouds
Jaipur,2023-12-25 03:00:00,290.1,36,overcast clouds
Jaipur,2023-12-25 06:00:00,296.64,22,broken clouds
Jaipur,2023-12-25 09:00:00,298.77,19,clear sky
Jaipur,2023-12-25 12:00:00,292.93,29,clear sky
Jaipur,2023-12-25 15:00:00,289.97,33,clear sky
Jaipur,2023-12-25 18:00:00,288.03,37,clear sky
Jaipur,2023-12-25 21:00:00,287.3,37,clear sky
Jaipur,2023-12-26 00:00:00,286.94,38,clear sky
Jaipur,2023-12-26 03:00:00,290.54,37,clear sky
Jaipur,2023-12-26 06:00:00,296.96,22,clear sky
Jaipur,2023-12-26 09:00:00,299.13,18,clear sky
Jaipur,2023-12-26 12:00:00,293.64,28,clear sky
Lucknow,2023-12-21 15:00:00,287.14,82,few clouds
Lucknow,2023-12-21 18:00:00,287.11,65,scattered clouds
Lucknow,2023-12-21 21:00:00,286.67,49,broken clouds
Lucknow,2023-12-22 00:00:00,286.31,33,overcast clouds
Lucknow,2023-12-22 03:00:00,288.49,33,overcast clouds
Lucknow,2023-12-22 06:00:00,293.47,26,overcast clouds
Lucknow,2023-12-22 09:00:00,295.45,24,overcast clouds
Lucknow,2023-12-22 12:00:00,291.64,31,overcast clouds
Lucknow,2023-12-22 15:00:00,290.27,32,overcast clouds
Lucknow,2023-12-22 18:00:00,289.53,34,overcast clouds
Lucknow,2023-12-22 21:00:00,288.22,39,overcast clouds
Lucknow,2023-12-23 00:00:00,286.71,46,overcast clouds
Lucknow,2023-12-23 03:00:00,289.22,42,clear sky
Lucknow,2023-12-23 06:00:00,295.78,26,clear sky
Lucknow,2023-12-23 09:00:00,297.91,22,clear sky
Lucknow,2023-12-23 12:00:00,293.34,30,clear sky
Lucknow,2023-12-23 15:00:00,291.35,34,clear sky
Lucknow,2023-12-23 18:00:00,290.1,38,clear sky
Lucknow,2023-12-23 21:00:00,289.03,43,few clouds
